"","date","smlo_vwret","smme_vwret","smhi_vwret","bilo_vwret","bime_vwret","bihi_vwret","rf"
"72",20060228,-0.0038,-0.003,-0.0066,0.0032,0.0034,-0.0103,0.0034
"73",20060331,0.0426,0.0546,0.0485,0.0158,0.0153,0.008,0.0037
"74",20060428,-0.0077,0.0096,0.0159,-0.0031,0.0232,0.0348,0.0036
"75",20060531,-0.0773,-0.0458,-0.0393,-0.0311,-0.0267,-0.0128,0.0043
"76",20060630,-0.0072,0.0028,0.0027,-0.0037,2e-04,0.0181,0.004
"77",20060731,-0.0582,-0.028,-0.0186,-0.0121,0.0134,0.0138,0.004
"78",20060831,0.0324,0.0268,0.0244,0.0347,0.0164,0.0075,0.0042
"79",20060929,0.0097,0.0119,0.0093,0.027,0.0222,0.0188,0.0041
"80",20061031,0.0591,0.0499,0.0511,0.0315,0.0306,0.049,0.0041
"81",20061130,0.0264,0.0271,0.0312,0.0145,0.0276,0.0192,0.0042
"82",20061229,-0.0057,0.008,0.0214,0.0043,0.0185,0.0276,0.004
"83",20070131,0.0219,0.0098,0.0246,0.0227,0.0113,0.0197,0.0044
"84",20070228,-0.0021,-0.0037,-0.0031,-0.02,-0.0159,-0.0142,0.0038
"85",20070330,0.0131,0.0137,0.006,0.0061,0.0135,0.021,0.0043
"86",20070430,0.0232,0.019,0.0174,0.0488,0.0386,0.0352,0.0044
"87",20070531,0.0414,0.0408,0.0278,0.0298,0.0404,0.0405,0.0041
"88",20070629,-0.0069,-0.0092,-0.0166,-0.012,-0.0199,-0.0236,0.004
"89",20070731,-0.049,-0.058,-0.0783,-0.0158,-0.0429,-0.0464,0.004
"90",20070831,0.0171,0.0213,-0.0086,0.0164,0.0235,-0.0055,0.0042
"91",20070928,0.0266,0.0084,-0.0027,0.0457,0.0282,0.0323,0.0032
"92",20071031,0.0362,0.0165,0.0092,0.0298,0.0084,0.0179,0.0032
"93",20071130,-0.0674,-0.0711,-0.0772,-0.0344,-0.0506,-0.0465,0.0034
"94",20071231,0.0024,-0.009,-0.0074,-0.0044,-0.0155,0.0054,0.0027
"95",20080131,-0.0816,-0.0581,-0.0461,-0.0726,-0.0439,-0.0468,0.0021
"96",20080229,-0.0415,-0.0301,-0.0368,-0.0237,-0.0388,-0.0289,0.0013
"97",20080331,-0.014,0.0098,6e-04,0.0052,-0.0291,-0.0039,0.0017
"98",20080430,0.0491,0.0287,0.0291,0.0398,0.0536,0.0582,0.0018
"99",20080530,0.0517,0.0556,0.0356,0.0227,-0.002,0.0312,0.0018
"100",20080630,-0.0752,-0.0773,-0.0779,-0.0733,-0.098,-0.0917,0.0017
"101",20080731,0.0275,0.0259,0.0549,-0.0081,-0.0294,0.0382,0.0015
"102",20080829,0.0307,0.0413,0.0701,0.0157,0.0084,0.0059,0.0013
